kind,path,sha256,detail,canonical_run_id,git_sha,git_branch,git_dirty,generated_at
output,pipeline/releases/canon_004/estimates/a01_engagement_composition.csv,ad27c6b5fa495bfb0e29ce300dc3995eaaf0825a288c1e650b865c9566cfc5fd,66648,canon_004,6c6c5d3d78beb4f9e15f3421963a6976ea606700,audit/inference-pipeline-review,FALSE,2026-08-07T16:03:02
output,pipeline/releases/canon_004/estimates/a02_refusal_rates_by_cell.csv,74e64bc18352e3b5c563a88ce8af6277b51745db22def9d8ffd013e0b55253aa,20974,canon_004,6c6c5d3d78beb4f9e15f3421963a6976ea606700,audit/inference-pipeline-review,FALSE,2026-08-07T16:03:02
output,pipeline/releases/canon_004/estimates/a03_justification_composition.csv,ec9e44c0242c15ececf17e8eeb300e9582c43112de4eb153f8ed008b661ad75f,79320,canon_004,6c6c5d3d78beb4f9e15f3421963a6976ea606700,audit/inference-pipeline-review,FALSE,2026-08-07T16:03:02
output,pipeline/releases/canon_004/estimates/a04_deepseek_language_paired.csv,e0c1b631e8d8160b163671be13356ca8293966fb5b0f1394072a14eec29c6f65,4519,canon_004,6c6c5d3d78beb4f9e15f3421963a6976ea606700,audit/inference-pipeline-review,FALSE,2026-08-07T16:03:02
output,pipeline/releases/canon_004/estimates/c00_timings.csv,bd1d97e264cf3d67f26e55601e515d98bcbaaa89b87f284155b84e00b71a1d67,585,canon_004,6c6c5d3d78beb4f9e15f3421963a6976ea606700,audit/inference-pipeline-review,FALSE,2026-08-07T16:03:02
output,pipeline/releases/canon_004/estimates/c02_home_descriptive_english.csv,76b775b69ce30941fcdec10927e06f0baf1e5b66e4ab5e501a94e4a641dc356c,24813,canon_004,6c6c5d3d78beb4f9e15f3421963a6976ea606700,audit/inference-pipeline-review,FALSE,2026-08-07T16:03:02
output,pipeline/releases/canon_004/estimates/c03_home_descriptive_all_languages_supplement.csv,0f0937b517542c264d674e810fd1b4fb375e7133eb75bfed2a035c1e34f28e17,26626,canon_004,6c6c5d3d78beb4f9e15f3421963a6976ea606700,audit/inference-pipeline-review,FALSE,2026-08-07T16:03:02
output,pipeline/releases/canon_004/estimates/c04_home_standardized.csv,d12e71705287a96e08b83d9e8f52fef9e90fd57a5e4eed2f2b9b832811ae1c38,22818,canon_004,6c6c5d3d78beb4f9e15f3421963a6976ea606700,audit/inference-pipeline-review,FALSE,2026-08-07T16:03:02
output,pipeline/releases/canon_004/estimates/c05_home_by_model.csv,9cef83a590e727646fe17f95a705d4d7e36b4830e18894d4fe6843a81be942f4,7207,canon_004,6c6c5d3d78beb4f9e15f3421963a6976ea606700,audit/inference-pipeline-review,FALSE,2026-08-07T16:03:02
output,pipeline/releases/canon_004/estimates/c06_home_overlap.csv,e6dc3de109037ddd6005d3ff26e88f7db06720a154d18112ff9fdf0339634146,21053,canon_004,6c6c5d3d78beb4f9e15f3421963a6976ea606700,audit/inference-pipeline-review,FALSE,2026-08-07T16:03:02
output,pipeline/releases/canon_004/estimates/c06b_common_support_diagnostics.csv,00cfb273032d266ba6993837300f505840ceed939a169e425246a23ff82c31bc,604,canon_004,6c6c5d3d78beb4f9e15f3421963a6976ea606700,audit/inference-pipeline-review,FALSE,2026-08-07T16:03:02
output,pipeline/releases/canon_004/estimates/c07_home_sensitivities.csv,66e00ed37bd206252a1dda34f0aba124091c26449c4f32904df46dab863af584,45320,canon_004,6c6c5d3d78beb4f9e15f3421963a6976ea606700,audit/inference-pipeline-review,FALSE,2026-08-07T16:03:02
output,pipeline/releases/canon_004/estimates/c08_language_paired.csv,ec69957e46f4e97d51ac9a7b01a48e770293fc407be0bf60e03f6bbbc5b6722e,29958,canon_004,6c6c5d3d78beb4f9e15f3421963a6976ea606700,audit/inference-pipeline-review,FALSE,2026-08-07T16:03:02
output,pipeline/releases/canon_004/estimates/c09_language_by_model.csv,d3c1cac656d53637b5d345fb87b3e2fe7cd6af77f2b1f1b19736073b125aa90f,25448,canon_004,6c6c5d3d78beb4f9e15f3421963a6976ea606700,audit/inference-pipeline-review,FALSE,2026-08-07T16:03:02
output,pipeline/releases/canon_004/estimates/c10_framing_paired.csv,de25c4f75c6f357d45af8a3fb4c325abaa40e1e22b4e7b4a5bcad1a1d2ebb704,4412,canon_004,6c6c5d3d78beb4f9e15f3421963a6976ea606700,audit/inference-pipeline-review,FALSE,2026-08-07T16:03:02
output,pipeline/releases/canon_004/estimates/c10b_framing_incomplete_blocks.csv,167082fcf808a693bfa2e5e56d2614cf9a27ccc12956c3a469dc1343d6763a12,752,canon_004,6c6c5d3d78beb4f9e15f3421963a6976ea606700,audit/inference-pipeline-review,FALSE,2026-08-07T16:03:02
output,pipeline/releases/canon_004/estimates/c11_framing_by_model_domain.csv,4f1419e862c34fa2b4da2eb16895998660b2643bf89e33a4b513f72442240dd1,12924,canon_004,6c6c5d3d78beb4f9e15f3421963a6976ea606700,audit/inference-pipeline-review,FALSE,2026-08-07T16:03:02
output,pipeline/releases/canon_004/estimates/c12_ideology_distribution.csv,edabf8c6cc0e84989287e0afceb754dc72865d06f9b9b448db35e377d7447fc7,23209,canon_004,6c6c5d3d78beb4f9e15f3421963a6976ea606700,audit/inference-pipeline-review,FALSE,2026-08-07T16:03:02
output,pipeline/releases/canon_004/estimates/c12b_slant_coverage.csv,776f3a2a35926cb39f90177d560690a3906ff459974d506ba9175a5f898ac2b2,5692,canon_004,6c6c5d3d78beb4f9e15f3421963a6976ea606700,audit/inference-pipeline-review,FALSE,2026-08-07T16:03:02
output,pipeline/releases/canon_004/estimates/c13_ideology_by_model.csv,76a313f2c4c39fa8c8c2a0b9f365e8f58d1e24475b26f99d736a210a3c240c1c,12868,canon_004,6c6c5d3d78beb4f9e15f3421963a6976ea606700,audit/inference-pipeline-review,FALSE,2026-08-07T16:03:02
output,pipeline/releases/canon_004/estimates/c14_moral_prevalence_equal_model.csv,6b6cefb8025d9e3701a78a74a2b8fbb1ea97c82d9e9459e99d891f805900f0c1,45291,canon_004,6c6c5d3d78beb4f9e15f3421963a6976ea606700,audit/inference-pipeline-review,FALSE,2026-08-07T16:03:02
output,pipeline/releases/canon_004/estimates/c15_moral_by_model.csv,47c58e321ebd7c33ec70a8be4e9557c2ee59676bf6b944743a70a1fa949bc146,10081,canon_004,6c6c5d3d78beb4f9e15f3421963a6976ea606700,audit/inference-pipeline-review,FALSE,2026-08-07T16:03:02
output,pipeline/releases/canon_004/estimates/c16_content_joint_outcomes.csv,283c0d598193af4a4512db0a67b9f84d6a19709c0c192dd5d57f9a8fc034e8fe,35313,canon_004,6c6c5d3d78beb4f9e15f3421963a6976ea606700,audit/inference-pipeline-review,FALSE,2026-08-07T16:03:02
output,pipeline/releases/canon_004/estimates/c17_measurement_sensitivity.csv,7f6eb4a4d13a57ba1b079ba3df6a59a915cc1cbb4a723d075a63546922e8e866,47219,canon_004,6c6c5d3d78beb4f9e15f3421963a6976ea606700,audit/inference-pipeline-review,FALSE,2026-08-07T16:03:02
output,pipeline/releases/canon_004/estimates/c17b_judge_envelope.csv,e7676f20e2e2f7a2ee6e43214951aef4712856f2fa2425b47ad7a874facf68f3,12047,canon_004,6c6c5d3d78beb4f9e15f3421963a6976ea606700,audit/inference-pipeline-review,FALSE,2026-08-07T16:03:02
output,pipeline/releases/canon_004/estimates/c17c_judge_support.csv,1a8f5b29dfce09f45448ad27b8e0e411da8fb7efaa2070f4144d66fe8687d0d4,905,canon_004,6c6c5d3d78beb4f9e15f3421963a6976ea606700,audit/inference-pipeline-review,FALSE,2026-08-07T16:03:02
