label,seed,replicates_drawn,replicates_successful,replicates_failed,bootstrap_unit,n_units,script
NA,20260807,500,500,0,issue_id,27450,02_judge_reliability.R
NA,20260807,500,500,0,issue_id,27450,02_judge_reliability.R
e23|psa|refused,20260807,500,500,0,issue_id,27450,02_judge_reliability.R
e23|psa2|refused,20260807,500,500,0,issue_id,27450,02_judge_reliability.R
e25|psa|care_harm,20260807,500,500,0,issue_id,6645,02_judge_reliability.R
e25|psa2|care_harm,20260807,500,500,0,issue_id,6645,02_judge_reliability.R
e25|psa|fairness_cheating,20260807,500,500,0,issue_id,6645,02_judge_reliability.R
e25|psa2|fairness_cheating,20260807,500,500,0,issue_id,6645,02_judge_reliability.R
e25|psa|liberty_oppression,20260807,500,500,0,issue_id,6645,02_judge_reliability.R
e25|psa2|liberty_oppression,20260807,500,500,0,issue_id,6645,02_judge_reliability.R
e25|psa|authority_subversion,20260807,500,500,0,issue_id,6645,02_judge_reliability.R
e25|psa2|authority_subversion,20260807,500,500,0,issue_id,6645,02_judge_reliability.R
e25|psa|loyalty_betrayal,20260807,500,500,0,issue_id,6645,02_judge_reliability.R
e25|psa2|loyalty_betrayal,20260807,500,500,0,issue_id,6645,02_judge_reliability.R
e25|psa|sanctity_degradation,20260807,500,500,0,issue_id,6645,02_judge_reliability.R
e25|psa2|sanctity_degradation,20260807,500,500,0,issue_id,6645,02_judge_reliability.R
